apartment_id,apartment,building,walking_min,transit_min,bicycling_min,amenity_score,pet_score,price_score,value_bonus,total_score
tower_at_third,The Tower at Third,Everitt Lab,11,9,3,0.475,0.0,0.6752895752895753,0.1063581081081081,0.471
tower_at_third,The Tower at Third,Loomis Lab,15,9,5,0.475,0.0,0.6752895752895753,0.1063581081081081,0.471
tower_at_third,The Tower at Third,Lincoln Hall,11,6,3,0.475,0.0,0.6752895752895753,0.1063581081081081,0.471
tower_at_third,The Tower at Third,Krannert Art Center,16,11,4,0.475,0.0,0.6752895752895753,0.1063581081081081,0.471
seven07,Seven07,Grainger Engineering Library,11,8,3,0.9,0.307,0.2650695641277371,0.0079520869238321,0.498
seven07,Seven07,Siebel Center for CS,17,13,5,0.9,0.307,0.2650695641277371,0.0079520869238321,0.498
seven07,Seven07,Illini Union,10,5,3,0.9,0.307,0.2650695641277371,0.0079520869238321,0.498
seven07,Seven07,CRCE,16,10,3,0.9,0.307,0.2650695641277371,0.0079520869238321,0.498
seven07,Seven07,ARC,16,10,3,0.9,0.307,0.2650695641277371,0.0079520869238321,0.498
seven07,Seven07,Main Library,12,8,3,0.9,0.307,0.2650695641277371,0.0079520869238321,0.498
seven07,Seven07,Wohlers Hall,13,11,3,0.9,0.307,0.2650695641277371,0.0079520869238321,0.498
seven07,Seven07,Everitt Lab,8,8,2,0.9,0.307,0.2650695641277371,0.0079520869238321,0.498
seven07,Seven07,Loomis Lab,12,6,4,0.9,0.307,0.2650695641277371,0.0079520869238321,0.498
seven07,Seven07,Lincoln Hall,10,8,3,0.9,0.307,0.2650695641277371,0.0079520869238321,0.498
seven07,Seven07,Krannert Art Center,15,13,4,0.9,0.307,0.2650695641277371,0.0079520869238321,0.498
octave,Octave,Grainger Engineering Library,11,9,4,0.9,0.6,0.4864760945963055,0.0145942828378891,0.616
octave,Octave,Siebel Center for CS,13,10,5,0.9,0.6,0.4864760945963055,0.0145942828378891,0.616
octave,Octave,Illini Union,16,7,5,0.9,0.6,0.4864760945963055,0.0145942828378891,0.616
octave,Octave,CRCE,25,15,7,0.9,0.6,0.4864760945963055,0.0145942828378891,0.616
octave,Octave,ARC,25,15,7,0.9,0.6,0.4864760945963055,0.0145942828378891,0.616
octave,Octave,Main Library,20,12,6,0.9,0.6,0.4864760945963055,0.0145942828378891,0.616
octave,Octave,Wohlers Hall,21,12,6,0.9,0.6,0.4864760945963055,0.0145942828378891,0.616
octave,Octave,Everitt Lab,13,8,4,0.9,0.6,0.4864760945963055,0.0145942828378891,0.616
octave,Octave,Loomis Lab,17,7,6,0.9,0.6,0.4864760945963055,0.0145942828378891,0.616
octave,Octave,Lincoln Hall,18,8,6,0.9,0.6,0.4864760945963055,0.0145942828378891,0.616
octave,Octave,Krannert Art Center,24,12,7,0.9,0.6,0.4864760945963055,0.0145942828378891,0.616
armory_75,75 Armory,Grainger Engineering Library,24,13,6,0.525,0.0,0.8927461603645975,0.1272163278519551,0.58
armory_75,75 Armory,Siebel Center for CS,30,12,8,0.525,0.0,0.8927461603645975,0.1272163278519551,0.58
